697,2023-01-15,CUST697,Male,53,Clothing,1,500,500
698,2023-07-19,CUST698,Female,64,Electronics,1,300,300
699,2023-06-22,CUST699,Female,37,Clothing,4,30,120
700,2023-12-09,CUST700,Male,36,Electronics,4,500,2000
701,2023-12-14,CUST701,Female,52,Beauty,2,30,60
702,2023-07-27,CUST702,Female,60,Clothing,2,300,600
703,2023-03-26,CUST703,Male,34,Electronics,2,50,100
704,2023-08-28,CUST704,Female,62,Clothing,3,30,90
705,2023-03-07,CUST705,Male,60,Electronics,2,25,50
706,2023-11-15,CUST706,Male,51,Electronics,4,25,100
707,2023-10-01,CUST707,Female,26,Clothing,1,500,500
708,2023-01-14,CUST708,Female,43,Beauty,3,300,900
709,2023-07-21,CUST709,Female,19,Electronics,2,500,1000
710,2023-10-31,CUST710,Female,26,Electronics,3,500,1500
711,2023-10-16,CUST711,Male,26,Electronics,3,500,1500
712,2023-12-06,CUST712,Female,57,Beauty,2,25,50
713,2023-01-14,CUST713,Male,34,Beauty,3,25,75
714,2023-02-12,CUST714,Female,18,Clothing,1,500,500
715,2023-11-26,CUST715,Female,42,Beauty,4,25,100
716,2023-08-08,CUST716,Female,60,Clothing,4,300,1200
717,2023-03-11,CUST717,Male,57,Clothing,1,500,500
718,2023-08-25,CUST718,Female,59,Beauty,3,25,75
719,2023-04-04,CUST719,Female,42,Clothing,2,30,60
720,2023-01-26,CUST720,Female,56,Beauty,3,500,1500
721,2023-05-14,CUST721,Female,52,Clothing,1,500,500
722,2023-07-14,CUST722,Male,20,Beauty,3,300,900
723,2023-06-17,CUST723,Female,54,Beauty,4,50,200
724,2023-04-19,CUST724,Male,61,Clothing,3,50,150
725,2023-08-21,CUST725,Male,61,Electronics,1,300,300
726,2023-06-17,CUST726,Male,47,Clothing,4,300,1200
727,2023-06-22,CUST727,Male,55,Beauty,3,300,900
728,2023-07-14,CUST728,Male,51,Electronics,3,50,150
729,2023-05-23,CUST729,Male,29,Clothing,4,300,1200
730,2023-08-04,CUST730,Female,36,Clothing,2,25,50
731,2023-05-10,CUST731,Male,54,Clothing,4,500,2000
732,2023-02-11,CUST732,Male,61,Electronics,2,500,1000
733,2023-08-29,CUST733,Male,34,Beauty,1,30,30
734,2023-01-10,CUST734,Female,27,Clothing,1,30,30
735,2023-10-04,CUST735,Female,64,Clothing,4,500,2000
736,2023-01-27,CUST736,Male,29,Clothing,4,25,100
737,2023-06-29,CUST737,Female,33,Clothing,1,50,50
738,2023-04-25,CUST738,Male,41,Clothing,2,50,100
739,2023-11-29,CUST739,Male,36,Beauty,1,25,25
740,2023-02-05,CUST740,Female,25,Beauty,4,50,200
741,2023-11-30,CUST741,Male,48,Clothing,1,300,300
742,2023-01-21,CUST742,Female,38,Electronics,4,500,2000
743,2023-01-16,CUST743,Female,34,Beauty,4,500,2000
744,2023-05-07,CUST744,Male,40,Electronics,1,25,25
745,2023-04-13,CUST745,Male,54,Beauty,2,50,100
746,2023-01-11,CUST746,Female,33,Clothing,3,30,90
747,2023-11-15,CUST747,Male,23,Beauty,1,30,30
748,2023-03-20,CUST748,Male,25,Clothing,3,50,150
749,2023-05-03,CUST749,Male,42,Beauty,1,30,30
750,2023-03-06,CUST750,Female,35,Clothing,3,25,75
751,2023-08-31,CUST751,Female,42,Clothing,2,25,50
752,2023-12-09,CUST752,Male,29,Clothing,2,50,100
753,2023-02-28,CUST753,Female,32,Clothing,1,30,30
754,2023-10-16,CUST754,Female,43,Electronics,4,25,100
755,2023-04-22,CUST755,Female,58,Clothing,3,25,75
756,2023-08-27,CUST756,Female,62,Electronics,4,300,1200
757,2023-12-25,CUST757,Female,43,Electronics,4,300,1200
758,2023-05-12,CUST758,Male,64,Clothing,4,25,100
759,2023-07-08,CUST759,Male,49,Electronics,2,50,100
760,2023-03-27,CUST760,Male,27,Beauty,1,500,500
761,2023-11-07,CUST761,Female,33,Clothing,1,500,500
762,2023-11-07,CUST762,Female,24,Electronics,2,25,50
763,2023-02-28,CUST763,Male,34,Clothing,2,25,50
764,2023-03-25,CUST764,Female,40,Clothing,1,25,25
765,2023-06-09,CUST765,Male,43,Clothing,4,50,200
766,2023-02-25,CUST766,Male,38,Electronics,3,300,900
767,2023-10-24,CUST767,Male,39,Beauty,3,25,75
768,2023-01-14,CUST768,Female,24,Beauty,3,25,75
769,2023-06-09,CUST769,Female,31,Electronics,4,30,120
770,2023-10-22,CUST770,Male,32,Clothing,1,50,50
771,2023-12-13,CUST771,Male,24,Electronics,2,25,50
772,2023-07-12,CUST772,Male,26,Electronics,1,30,30
773,2023-07-23,CUST773,Male,25,Electronics,4,500,2000
774,2023-04-12,CUST774,Female,40,Clothing,2,25,50
775,2023-02-08,CUST775,Female,46,Electronics,4,25,100
776,2023-10-31,CUST776,Male,35,Clothing,3,30,90
777,2023-12-20,CUST777,Male,48,Electronics,3,50,150
778,2023-11-18,CUST778,Female,47,Beauty,4,25,100
